Sector,2024.10,2024.11,2024.12,2025.01,2025.02,2025.03,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Manufacturing,6574.63,6129.15,6082.5,6370.31,6450.3,6352.51,623.29,952.18,949.97,1387.78,1510.51,2273.7,2263.96,3119.6,1940.65,3157.55,4062.32,3866.52,4325.41,4204.21,3873.57,4023.15,4449.94,5648.76,4579.62,5273.05,7548.59,7591.6,5761.9,7137.38,6082.5
Food & Tobacco,3795.52,3716.9,3747.04,3658.85,3712.35,3859.32,628.81,916.05,884.43,1266.36,1492.57,2322.15,2484.6,2901.99,2023.66,2375.77,2531.42,3103.3,3896.71,3872.73,4212.51,5736.92,4141.12,4364.77,3960.01,3480.12,3940.15,3826.86,3847.06,3695.74,3747.04
Textiles & Apparel,227.37,209.23,212.11,227.03,231.88,215.34,200.56,230.45,132.77,90.2,70.47,166.75,189.97,217.37,117.95,174.7,201.46,222.74,211.37,243.98,402.3,377.35,291.15,294.92,253.51,289.14,254.64,518.08,400.1,291.78,212.11
Paper & Wood,264.84,255.47,250.91,263.9,259.81,249.77,174.64,236.51,185.5,194.75,215.01,385.82,343.09,412.11,234.39,281.62,304.13,251.22,277.92,329.12,319.83,381.52,362.9,298.95,357.66,330.11,392.31,403.65,339,294.17,250.91
Chemicals,3793.53,3340.17,3192.98,3427.88,3454.38,3260.4,426.7,647.61,642.73,994.42,1343.97,1683.66,1921.09,3130.27,1965.19,3001.71,4657.74,4369.45,4340.66,4149.54,3694.01,5346.66,5113.99,6071.54,4874.93,4591.69,6503.57,6210.01,5047.95,4886.42,3192.98
Pharmaceuticals,15915.78,15253.53,15417.59,16202.14,16369.99,14943.6,779.38,1102.85,884.41,1186.47,1594.97,3481.03,3687.61,4786.74,3396.58,3976.05,3794.35,3395.62,4105.26,4227.26,4491.17,8448.15,7591.6,12370.06,11626.69,11031,21085.04,17204.26,13793.83,14157.97,15417.59
Non-metallic Minerals,3924.7,3904.69,3838.82,3880.51,3762.85,3623.25,384.12,551.19,573.03,865.57,913.49,985.25,958.93,1255.89,611.13,780.19,821.96,645.29,655.83,782.63,1339.04,1494.8,1341.9,1352.51,1661.05,1489.51,2071.15,2690.04,2587.63,3864.11,3838.82
Metals,5489.57,5298.49,4939.77,4759.52,4863.18,4842.05,908.39,1354.71,1342.13,1887.98,2220.56,2574.26,3766.81,6799.17,4328.58,7226.7,6896.96,5754.16,5579.03,5180.48,4735.92,3739.77,4683.94,5293.84,4043.12,3693.15,4112.28,4558.75,4355.59,6085.88,4939.77
Machinery & Equipment,1268.42,1212.49,1164.12,1456.78,1442.81,1284.37,145.39,266.41,223.86,430.31,432.03,928.12,1034.02,1992.67,995.37,1274.31,1654.23,1225.93,1052.03,962.83,815.34,831.55,861.79,920.54,765.14,701.59,972.02,1120.85,915.65,1231.53,1164.12
Electrical & Electronics,24422.67,22047.07,21839.66,22531.34,22684.59,22755.83,1957.68,3089.59,3264.61,4520.71,4573.91,6761.03,5885.39,6061.74,4165.92,7816.18,8845.24,8496.53,11429.91,10693.84,10583.95,9599.38,12926.3,18795.89,14447.02,20207.86,29788.48,30325.09,21190.01,28273.89,21839.66
Medical & Precision Instruments,1419.08,1295.75,1244.64,1385.61,1345.12,1272.69,188.29,242.06,224.05,422.48,256.45,538.74,862.18,1053.64,686.97,1965.51,1794.83,1386.32,1197.38,1789.69,1736.8,2259.93,2263.55,3028.17,2133.84,2460.99,2795.33,3186.59,2073.61,1561.05,1244.64
Transport Equipment & Parts,2542.54,2595.47,2708.78,2931.02,3046.15,3085.61,200.08,329.93,320.79,585.44,600.26,1126.54,1027.13,1775.01,852.98,1438.47,2631.41,2581.73,2514.17,2657.58,1917.14,1785.09,1757.54,1643.03,1420.4,1559.12,1924.37,2101.78,1707.54,2254.48,2708.78
Distribution,341.82,333.69,318.59,324.8,342.39,335.43,120.24,211.43,190.25,247.6,240.05,400.72,477.24,589.08,311.65,443.35,544.63,490.69,493.36,525.51,489.38,493.56,437.79,455.45,393.5,369.33,394.67,379.42,334.16,369.76,318.59
Electricity & Gas,780.15,823.84,685.5,707.15,719.81,728.56,663.83,615.94,544.96,634.53,800.29,1109.76,1244.28,1276.55,976.97,1058.34,970.95,825.58,1063.83,1178.16,1303.55,1423.88,1318.9,1164.06,1050.6,876.02,844.83,786.17,851.82,619.34,685.5
Construction,67.39,68.41,63.91,66.95,70.47,69.67,40.85,64.57,44.87,66.75,92.29,198.61,248.09,399.88,164.62,226.67,229.22,175.64,155.13,129.71,118.66,107.79,111.43,103.47,112.6,94.07,106.2,115.08,73.6,71.39,63.91
Transport & Storage,1646.83,1695.28,1603.24,1779.7,1735.52,1622.55,310.66,344.71,400.58,977.33,1178.31,1629.29,1707.46,3483.02,1992.21,2264.61,3113.33,2312.48,2436.12,1899.19,2423.58,1733.11,1429.54,1406.03,1341.29,1330.05,1755.95,2018.65,1610.63,1716.49,1603.24
Telecommunications,438.33,481.4,433.36,447.59,450.21,454.7,443.42,403.3,366.83,318.63,316.08,305.96,366.5,395.68,338.65,293.67,308.86,254.57,265.24,334.38,369.59,311.19,326.53,377.91,397.99,345.69,325.16,412.49,370.41,377.27,433.36
Finance,475.39,481.37,458.12,484.57,474.19,462.81,162.38,307.75,229.35,251.25,288.45,543.13,556.53,658.86,322.91,509.13,543.85,398.12,416.9,452.48,441.4,417.68,435.06,540.29,434.35,409.49,392.51,430.6,343.83,386.93,458.12
Banking,0,0,0.0,0.0,0.0,0.0,103.19,176.22,152.12,179.69,187.55,351.36,338.97,337.64,164.77,345.41,355.99,236.44,231.71,227.04,244.62,212.78,259.45,325.34,300.61,246.62,185.12,193.06,129.83,0,0.0
Securities,2245.21,2186.13,2096.68,2182.09,2210.4,2195.89,800.92,1738.91,1139.4,1001.21,1017.89,2949.3,2570.95,4561.42,2083.88,2685.44,3075.65,1697.49,1842.06,1518.14,1761.17,1746.75,1555.79,1986.01,1675.55,1739.59,1903.9,2108.2,1589.25,1854.88,2096.68
Insurance,21632.19,22849.62,20786.0,20621.58,20239.28,19379.02,1850.52,4240.13,4382.43,4999.03,6023.95,12366.35,13744.22,24539.56,14168.88,17596.43,17225.33,15984.28,16679.51,18372.19,19319.87,20032.26,18792.4,21138.28,16303.29,13698.26,12660.89,13285.27,14575.09,16596.76,20786.0
General Services,1014.2,1041.77,1055.42,1097.81,1072.89,1061.22,330.94,434.95,252.14,334.97,418,614.85,606.98,899.11,515.94,759.77,988.04,880.64,962.2,1047.2,1031.4,1191.02,1049.28,1293.04,1080,1219.07,1639.72,1903.83,1103.15,1181.29,1055.42
Real Estate,-,-,871.57,878.54,937.17,921.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,871.57
IT Services,-,-,1027.99,1072.63,1064.43,990.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1027.99
Entertainment & Culture,-,-,961.75,1054.38,1138.99,1070.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,961.75
